name,address,lat,lng,types,osm_link,image_link,osm_type,osm_id
GOR Bahtera Jaya Ancol,Jalan Ketel I,-6.1130938,106.8638742,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/511636317,,way,511636317
Lapangan Sepakbola Cijantung,Jalan Bumi Gotong Royong,-6.3216883,106.8537202,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/511717086,,way,511717086
AM Zoesin Futsal,Jalan H. Jusin,-6.3146,106.866136,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/512012562,,way,512012562
Doger Kolam Renang,"Jalan Raya Setu Cipayung No. 79 Kelurahan Bambu Apus, Kecamatan Cipayung, Jakarta Timur",-6.3217983,106.9065457,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/512018148,,way,512018148
Gymnasium,DKI Jakarta,-6.2866541,106.7886447,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/512198446,,way,512198446
Plaza,Universitas Darma Persada,-6.2296999,106.924324,leisure:pitch,https://www.openstreetmap.org/way/512776024,,way,512776024
Stadion Cikarang,,-6.2507497,107.160244,"leisure:stadium, sport:multi",https://www.openstreetmap.org/way/513515783,,way,513515783
Lapangan Bulu Tangkis RT03/RW02,Jalan Inspeksi Kali Grogol,-6.1554724,106.7369303,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/513554829,,way,513554829
Centro Futsal,Jalan Lingkar Barat No.9A,-6.158758,106.728767,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/513554831,,way,513554831
PB Manunggal 14,Jalan H. Ma'mun Saleh,-6.1552783,106.7362217,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/513554964,,way,513554964
Lapangan Badminton RW 01,Jalan Rawa Buaya Raya RT/RW 003/01,-6.1564279,106.7310131,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/513554968,,way,513554968
MD Futsal,Jalan H. Jairi No.4C,-6.1573515,106.7427371,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/513554970,,way,513554970
Gelanggang Remaja Jakarta Utara,"Jl. Yos Sudarso No. 25-26, DKI Jakarta, 14320",-6.1187997,106.8921711,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/523546088,,way,523546088
Club House Diamond Golf,Jalan Diamond Golf Raya,-6.1152827,106.7410594,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/524545641,,way,524545641
Lapangan Skateboard,Jalan R.E. Martadinata,-6.1293725,106.8392961,"leisure:pitch, sport:skateboard",https://www.openstreetmap.org/way/524575631,,way,524575631
Premier Futsal,Jalan Satria I No. 40,-6.1408975,106.8356938,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/524635888,,way,524635888
Kolam Renang Komp. TNI AL Dewa Kembar,Jalan Trisula,-6.1103653,106.924053,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/524814995,,way,524814995
Magnet Futsal,Jalan Kapuk Muara Raya,-6.1341153,106.7753387,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/524830114,,way,524830114
Stadion Kamal,Jalan Kamal Muara Raya,-6.0960027,106.7221121,"leisure:stadium, sport:soccer",https://www.openstreetmap.org/way/525540309,,way,525540309
Gedung Olahraga Kamal,Jalan Kamal Muara Raya,-6.0972946,106.7221098,"leisure:sports_hall, sport:multi",https://www.openstreetmap.org/way/525541634,,way,525541634
Lapangan Basket RW 26,"Jalan Pelangi Indah 6, Kelurahan Pegangsaan Dua, Kecamatan Kelapa Gading, Jakarta Utara",-6.1737011,106.9167277,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/525578281,,way,525578281
Kolam Renang Warga Komplek Gading Mansion,"Jalan Gading Mansion Indah, Kelurahan Pegangsaan Dua, Kecamatan Kelapa Gading, Jakarta Utara",-6.1424436,106.9132632,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/525578415,,way,525578415
Club Arcadia,"Komplek Gading Arcadia, Kelurahan Pegangsaan Dua, Kecamatan Kelapa Gading, Jakarta Utara 14250",-6.162188,106.9212294,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/525578429,,way,525578429
Lapangan RW 12,Jalan Perum Gading Griya Lestari,-6.1384914,106.9185553,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/526081027,,way,526081027
Ancol Badminton Hall,Jalan Ancol Barat II,-6.1301305,106.8200873,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/527222721,,way,527222721
Sarana Krida,Jalan Parang Tritis IX No. 4,-6.1257554,106.8234833,"leisure:sports_centre, sport:tennis",https://www.openstreetmap.org/way/527222762,,way,527222762
Lapangan,Jalan Tipar Selatan X,-6.1344346,106.918695,"leisure:pitch, sport:multi",https://www.openstreetmap.org/way/527424070,,way,527424070
Kavlink Futsal,Jalan Pemadam No.171,-6.1286449,106.9250834,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/527470281,,way,527470281
Lapangan Dewa Ruci,Jalan Angin Sejuk,-6.1145898,106.9233498,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/527501638,,way,527501638
Lapangan Outbond,,-6.1015829,106.9598172,"leisure:pitch, sport:multi",https://www.openstreetmap.org/way/527803621,,way,527803621
Lapangan Bintang,,-6.103028,106.9586511,"leisure:pitch, sport:multi",https://www.openstreetmap.org/way/527803623,,way,527803623
Lapangan Depan Kantor RW 05,Jalan Taman Permai Pluit Timur,-6.1132628,106.7918559,"leisure:pitch, sport:multi",https://www.openstreetmap.org/way/528145100,,way,528145100
